Kommune;Adresse;Bygningsnavn;Fredningsaar;Opfoerelsesaar;beskrivelse
Helsingør;Sophie Brahesgade 5 A-B, hj;af Stengade;1945;1700;De Mezas Gård. Forhus med to sidehuse og baghus (1700-tallet). Fredet 1945.*
Helsingør;Sophie Brahesgade 6;Sophie Brahesgade 6;1919;;Forhuset (klassicisme) med sidehus. Fredet 1919.*
Helsingør;Stationspladsen 1, (tidl;Jernbanevej 1);1990;1890;Helsingør Station. Helsingør Stations hovedbygning og de til perronanlæggene hørende perrontage inkl. disses støbejernsophæng og de bærende søjler (1890-91 af N.P. Holsøe og Heinrich Wenck). Fredet 1990.*
Helsingør;Stengade 20 og Skyttenstræde 12;Iver Pedersens Gård;1919;1600;Forhus og sidehus (ca. 1600). Fredet 1919.*
Helsingør;Stengade 22 A;Milans Gård;1919;1695;Forhuset og den dertil stødende sidefløj i dens hele længde langs grundens sydvestre grænse (1695). Fredet 1919.*
Helsingør;Stengade 26;L.F;1919;1791;Tegners Gård. Forhuset og den dertil stødende smalle sidefløj (1791).Fredet 1919.*
Helsingør;Stengade 29 A;Knud Andersens Gård;1919;1645;Forhus og hermed sammenbygget toetages sidehus samt bindingsværksudhus (1645). Fredet 1919.*
Helsingør;Stengade 31 A og D;Skrivergården;1945;1700;Forhus, sidehus og baghus (1700-tallet). Fredet 1945.*
Helsingør;Stengade 40 og Strandgade 49;Joachim Langes Gård og Hans Pipers Gård;1919;1604;Forhus mod Stengade 40 (1604) med tilstødende nordre sidebygning samt forhus mod Strandgade 49 (1633, facaden 1780) med tilstødende sidebygning. Fredet 1919.
Helsingør;Stengade 46 A;Det Svenske Konsulat;1918;1784;Forhuset (ca. 1784, muligvis af Carl Frederik Adelcrantz). Fredet 1918.*
Helsingør;Stengade 48-50;Putschers Gård og Rasmus Regelsens Gård;1919;1752;"Bebyggelsen mod Stengade, de to sidehuse i hele deres længde samt det fritliggende hus bagest i gården (nr. 48: ""Putschers Gård"", 1752; nr. 50 ""Rasmus Regelsens Gård"", 1639, 1700-tallet; østlænge i gården ca. 1650). Fredet 1919.*"
Helsingør;Stengade 54 og Bramstræde 4 A;Troels Lunds Gård;1919;1500;Forhus med to sidehuse og baghus (ca. 1500, stærkt ombygget 1810-30). Fredet 1919.
Helsingør;Stengade 56;Stengade 56;1999;1600;Forhuset (ca. 1600, ombygget 1777) med sidehuset (ca. 1530, udvidet 1600 og ombygget 1845) samt baghuset (ca. 1830) og den mellem bygningerne liggende brolagte gård. Fredet 1999.*
Helsingør;Stengade 58 A-C;Stengade 58;2011;;Forhus, sidehus, baghus og gårdsplads. Fredet 2011.
Helsingør;Stengade 64;Nicolai Dahls Gård;1918;1739;Forhus, sidehus og baghus (1739). Fredet 1918.*
Helsingør;Stengade 66 og Gammel Færgestræde 5 A;Oxernes Gård;1918;1750;"Bebyggelsen mod Stengade og Færgestræde (forhuset for størstedelens vedkommende fra ca. 1750 og senere; gavlen ca. 1460, antagelig istandsat 1517). Fredet 1918.*"
Helsingør;Stengade 68;Stengade 68;1919;1740;"Bebyggelsen mod Stengade og Færgestræde (forhuset ca. 1740; sidelænge mod Færgestræde ca. 1600). Fredet 1919.*"
Helsingør;Stengade 70;Stengade 70;1919;1500;Forhus (ca. 1500) med sidelænge (hhv. 1525 og 1642). Fredet 1919.*
Helsingør;Stengade 72-74;Leyell'ernes Gårde;1918;1551;"Forhus med to sidehuse samt tilbygninger til østre sidehus (nr. 72: muligvis fra 1551, ombygget i slutningen af 1700-tallet; nr. 74: ca. 1500). Fredet 1918."
Helsingør;Stengade 76;David Hansens Gård;1918;1579;Forhuset med sidehus og dettes tilbyggede trappehus (1579, kælder middelalderlig). Fredet 1918.*
Helsingør;Stengade 78;Stengade 78;1945;1700;Forhuset og sidehuset i hele dettes længde (1700-tallet). Fredet 1945*.
Helsingør;Stengade 81 A;Trentwedels Gård;1919;1770;Forhuset (1770) samt det sydvestre sidehus (1810-11, forhøjet 1847). Fredet 1919.*
Helsingør;Stengade 82 A;Lütkens Gård;1945;1700;Forhuset (1700-tallet). Fredet 1945.*
Helsingør;Stengade 83 A;Ostens Gård;1918;1769;Forhuset (1769-70). Fredet 1918.*
