Kommune;Adresse;Bygningsnavn;Fredningsaar;Opfoerelsesaar;beskrivelse
Aabenraa;Brundlund Slot 1;Brundlund Slot, Amtmandsboligen;1921;ca. 1411-29;Hovedbygningen og porthuset (ca. 1411-29, ca. 1581, ca. 1600-10 og 1805-07 af C.F. Hansen) samt det grundmurede hus i syd. Fredet 1921.
Aabenraa;Dyrhave 101;Eldorado;2000;1769;Det firelængede gårdanlæg bestående af stuehuset (1769), huggehuset (formentlig 1769), de to sammenbyggede avlslænger (1769, ombygget 1926) samt de to forbindende mure med portåbninger. Fredet 2000.*
Aabenraa;Egvadvej 20;Egvad Kirkestald;1971;;Staldbygningen. Fredet 1971.*
Aabenraa;Fiskergade 3 A;Fiskergade 3 A;1977;1744;Det 11 fag dybe gavlhus (før 1744, delvis grundmuret mellem 1825 og 1835) med den korte sidebygning. Fredet 1977.*
Aabenraa;Fiskergade 8;Fiskergade 8;1971;1779;Forhus og sidehus (opr. gavlhus med fløj langs gaden opført 1779 og ombygget 1805, dør og dørindfatning 1779). Fredet 1971.*
Aabenraa;Flensborgvej 158;Bomhuset, Flensborgvej 158;1992;1847;Bomhuset (1847). Fredet 1992.*
Aabenraa;Gildegade 15;Gildegade 15;1921;1752;Dobbelthuset (1752). Fredet 1921.*
Aabenraa;Gildegade 5;Gildegade 5;1921;1775;Det grundmurede, ni fag dybe gavlhus (opr. fire våninger, mellem 1775 og 1785). Fredet 1921.
Aabenraa;Gildegade 6;Gildegade 6;1977;1754;Forhuset (den ndr. halvdel af dobbeltvåning, mellem 1754 og 1759, noget ændret ca. 1890). Fredet 1977.*
Aabenraa;H.P;Hanssens Gade 42;2013;1901;Amtshus (Kreishaus), Aabenraa. Det trefløjede amtshus (Kreishaus) (1901 af F.W.A. Jablonowski). Fredet 2013.*
Aabenraa;Jernbanegade 2;Åbenrå Banegård;1988;1867;Stationsbygningen (1867 af N.P. Holsøe). Fredet 1988.
Aabenraa;Kirkeplads 7;Den gamle Pigeskole;1983;1755;Forhuset (ca. 1755). Fredet 1983.
Aabenraa;Kirkeplads 8 A-C;Den gamle Drengeskole;1978;1737;Kirkeplads 8A-B: forhuset (1737, sydsiden forhøjet til to etager mellem 1853 og 1855). Kirkeplads 8C: baghuset (1855), opført som værkstedsbygning. Fredet 1978. Udvidet 1990.*
Aabenraa;Klinkbjerg 1;Klinkbjerg 1;1921;1752;Det grundmurede, 11 fag dybe gavlhus (1752, delvis ombygget 1875). Fredet 1921.
Aabenraa;Klinkbjerg 2;Klinkbjerg 2;1972;1835;Forhuset (1835-36) og det bagved liggende bulhus (mellem 1754 og 1764). Fredet 1972.*
Aabenraa;Lille Pottergade 4;Lille Pottergade 4;1977;1789;Forhuset (1789). Fredet 1977.*
Aabenraa;Lille Pottergade 5;Leistmanns Fattighus;1977;1744;Forhuset (før 1744, grundmuret mellem 1764 og 1775 samt senere). Fredet 1977.*
Aabenraa;Lindsnakkevej 95;Haus Lensnack;2018;1909;Villaen Haus Lensnack (1909-10 af Anton Huber, udv. 2001) med tilhørende haveanlæg. Fredet 2018
Aabenraa;Nybro 14;Nybro 14;1921;1705;Gavlhuset (10 fag langt bindingsværkshus 1705 med det 1781 tilføjede, grundmurede fag med gavlen mod gaden) samt muren langs gaden (ca. 1750). Fredet 1921.*
Aabenraa;Nygade 44;Nygade 44;1977;1740;Det grundmurede forhus (1740) og baghus (1864). Fredet 1977.*
Aabenraa;Nygade 45;Nygade 45;1977;1737;Det grundmurede gavlhus (1737, forlænget med tre fag mellem 1751 og 1754, forhøjet i 1866) og den dermed sammenbyggede sidebygning med bulkonstruktion i gårdsidens 2. etage (formentlig 1. halvdel af 1800-tallet) samt gårdspladsens brolægning. Fredet 1977.*
Aabenraa;Nygade 59;Richelsens Stiftelse;1977;1845;Forhuset (mellem 1845 og 1852). Fredet 1977.*
Aabenraa;Nygade 62;Nygade 62;1979;1744;Gavlhuset (før 1744, helt omsat i grundmur mellem 1825 og 1900). Fredet 1979.*
Aabenraa;Nygade 66;Nygade 66;1977;1744;Forhuset (før 1744, gadeside og gavle grundmurede ca. 1815 og senere) samt gårdspladsens brolægning. Fredet 1977.*
Aabenraa;Nygade 70;Nygade 70;1977;1745;Det grundmurede forhus (1745, gadedør 1789). Fredet 1977.
Aabenraa;Persillegade 1;Persillegade 1;1977;1748;Det grundmurede forhus (1748). Fredet 1977.*
Aabenraa;Persillegade 3 A-B;Jomfru Fannys Hus;1977;1752;Forhusene (1752 og senere). Fredet 1977.*
Aabenraa;Persillegade 5;Persillegade 5;1977;1866;Det grundmurede forhus (1866). Fredet 1977.*
Aabenraa;Præstegaardsvej 7;Felsted Præstegård;1932;1788;Stuehuset og de to udlænger (1788). Fredet 1932.*
Aabenraa;Røllum Bygade 41;Jacobsgård;1986;1790;Den trelængede gård (før 1790) med brolagt gårdsplads. Fredet 1986.*
Aabenraa;Skibbroen 20-22;Toldboden;1977;1853;Nordfløjen (1853-54 formentlig af L.A. Winstrup). Fredet 1977.*
Aabenraa;Skibbrogade 14;Skibbrogade 14;1977;1825;Det grundmurede forhus (formentlig mellem 1825 og 1830). Fredet 1977.*
Aabenraa;Skibbrogade 16;Skibbrogade 16;1977;1739;Det fire fag dybe bindingsværksgavlhus med grundmuret gavl mod gaden (1739, senere delvis grundmuret). Fredet 1977.*
Aabenraa;Skibbrogade 3;Skibbrogade 3;1972;1737;De to sammenbyggede trefags bindingsværkshuse med grundmurede gadesider (det vestre 1737, det østre 1748). Fredet 1972.*
Aabenraa;Skibbrogade 5;Skibbrogade 5;1977;1754;Det grundmurede forhus og den hermed sammenbyggede sidebygning (mellem 1754 og 1764). Fredet 1977.*
Aabenraa;Skibbrogade 8;Skibbrogade 8;1971;1752;Forhus og sidehus (ældre gavlhus med fløj langs gaden, ombygget og grundmuret 1752). Fredet 1971.*
Aabenraa;Skolevej 1C (tidl;Ramsherred 40);1977;1863;Pakhuset. Det grundmurede pakhus (1863). Fredet 1977.
Aabenraa;Skovbølgaardvej 10;Skovbølgård;1925;1765;Hovedbygningen (1765) og de to udlænger (sydlængen 1760 og nordlængen 1761). Fredet 1925.*
Aabenraa;Skrænten 50, (tidl;Storegade 11 B) (tidl;1978;1800;7-9). Skrænten 50. Det grundmurede pakhus i gården (første halvdel af 1800-tallet). Fredet 1978.*
Aabenraa;Slotsgade 11;Slotsgade 11;1921;1707;Gavlhuset (1707, senere delvis grundmuret) with sidehus (mellem 1709 og 1770) og tværhuset (ca. 1864, forhøjet 1871). Fredet 1921.*
Aabenraa;Slotsgade 14;Slotsgade 14;1921;1767;Forhuset (1767). Fredet 1921.*
Aabenraa;Slotsgade 15;Slotsgade 15;1921;1713;Gavlhuset (1713, delvis grundmuret i sidste halvdel af 1800-tallet). Fredet 1921.*
Aabenraa;Slotsgade 20;Slotsgade 20;1971;1750;Det otte fag dybe bindingsværksgavlhus med grundmuret gavl mod gaden (de syv forreste fag mellem 1750 og 1770, forlænget med et grundmuret fag ca. 1845, vestsiden grundmuret i 1900-tallet). Fredet 1971.*
Aabenraa;Slotsgade 21;Slotsgade 21;1921;1725;Gavlhuset (formentlig opført i 1725-50, de fire forreste fag forhøjet til to etager før 1770). Fredet 1921.*
Aabenraa;Slotsgade 24;Slotsgade 24;1977;1765;Det grundmurede forhus (1765-66, gadesiden delvis ombygget kort efter 1855) samt gårdspladsens brolægning. Fredet 1977.*
Aabenraa;Slotsgade 28;Slotsgade 28;1971;1798;Det grundmurede forhus (1798). Fredet 1971.*
Aabenraa;Slotsgade 29;Slotsgade 29;1921;1770;Det ni fag dybe toetages gavlhus (de fem forreste fag 1770, de fire bageste mellem 1775 og 1778) og det trefags sidehus (ca. 1750) samt gårdspladsens brolægning. Fredet 1921.*
Aabenraa;Slotsgade 3;Slotsgade 3;1978;1744;Forhuset (mellem 1744 og 1754). Fredet 1978.*
Aabenraa;Slotsgade 31;Slotsgade 31;1971;1785;Det grundmurede forhus (mellem 1785 og 1788). Fredet 1971.*
Aabenraa;Slotsgade 33;Slotsgade 33;1971;1748;Det grundmurede forhus (ca. 1748, ombygget ca. 1820 og 1850) og muren ud mod Slotsgade. Fredet 1971.*
Aabenraa;Slotsgade 5;Slotsgade 5;1921;1707;Gavlhuset (1707, delvis grundmuret efter 1872). Fredet 1921.*
Aabenraa;Slotsgade 9;Slotsgade 9;1921;1710;Gavlhuset (ca. 1710-15) med sidehus (mellem 1770 og 1780). Fredet 1921.*
Aabenraa;Slotsmøllevej 1 (tidl;Ved Slottet 1);1921;ca. 1550;Aabenraa Slotsvandmølle. Vandmøllebygningen (ca. 1550). Fredet 1921.*
Aabenraa;Snorhavevej 28;Snorhavevej 28;1991;1850;Stuehus samt lade- og staldbygningen (ca. 1850). Fredet 1991.*
Aabenraa;Store Pottergade 11;Store Pottergade 11;1977;1600;Det trefags forhus (østlige våning i boderækken fra slutn. af 1600-tallet, gadesidens stueetage grundmuret mellem 1744 og 1754 og 2. etage mellem 1805 og 1815). Fredet 1977.*
Aabenraa;Store Pottergade 9;Store Pottergade 9;1977;1744;Forhuset (før 1744, delvis grundmuret mellem 1815 og 1825). Fredet 1977.*
Aabenraa;Storegade 11;Storegade 11;1977;1610;Det 10 fag dybe bindingsværksgavlhus (kort efter 1610, gavlen mod gaden grundmuret 1752, de seks forreste fag af sydsiden 1833). Fredet 1977.*
Aabenraa;Storegade 2 B;Kliplev Præstegård;1950;1747;Hovedbygningen (1747). Fredet 1950.
Aabenraa;Storegade 24;Marcussens Gård;1977;1859;Forhuset (formentlig 1723) med sidehus (1. sidehus før 1744, 2. sidehus mellem 1754 og 1764, 3. sidehus mellem 1845 og 1855) og tværhuset (1859) samt gårdspladsens brolægning. Fredet 1977.*
Aabenraa;Storegade 30;Aabenraa Rådhus;1932;1828;Rådhusbygningen (1828-30 af C.F. Hansen). Fredet 1932.
Aabenraa;Storetorv 9, hj;af Søndergade;1971;1785;Redergården. Den vinkelbyggede gård, opr. omfattende et gavlhus langs Søndergade med gavl og portbygning mod torvet (1785-87, ombygget til sit nuværende udseende ca. 1825). Fredet 1971.*
Aabenraa;Søgård Hovvej 1;Søgård;1927;1780;Laden (1780). Fredet 1927.
Aabenraa;Søndergade 10;Søndergade 10;1924;1767;Bulhuslængen mod Slotsgade (1767). Fredet 1924.
Aabenraa;Søndergade 20;Postholdergården;1921;1758;Det grundmurede forhus med sidebygning (1758), brolægningen i gården, stakittet mellem gårdspladsen og haven, havens anlæg med markeret akse, lysthus og busketter, den hertil grænsende havemur med omkransende træbeplantning og busketter bl.a. rhododendron. Fredet 1921. Udvidet 1982.*
Aabenraa;Søndergade 9;Øster Løgum Præstegård;1979;1800;Det firelængede præstegårdsanlæg med udløberfløj (ca. 1800-50, muligvis med dele fra 1600-tallet), brolægning og hegnsmure. Fredet 1979.
Aabenraa;Sønderport 1 A;Schwennesens Stiftelse;1921;1772;Forhuset (1772). Fredet 1921.*
Aabenraa;Toften 37 A;Jacob Michelsens Gård;1988;1826;Stuehuslængen (før 1826), ladebygningen, bagehuset (slut. 1800), den åbne vognport samt haven. Fredet 1988.
Aabenraa;Torvet 2;Kliplev Kro;1950;1700;Hovedbygningen (1700-tallet, kvisten 1852). Fredet 1950. *
Aabenraa;Varnæsvej 700;Varnæs Præstegård;1954;;Stuehuset og udlængen. Fredet 1954.
Aabenraa;Vægterpladsen 1;Vægterpladsen 1;1921;1744;Det grundmurede forhus på ni fag (kort før 1744, ombygget ca. 1800). Fredet 1921.*
Aabenraa;Vægterpladsen 1 A;Det Blinde Æsel;1921;1744;Det fem fag dybe bindingsværksgavlhus med grundmuret gavl mod pladsen (mellem 1744 og 1754). Fredet 1921.*
Aabenraa;Vægterpladsen 2, hj;af Jomfrugangen;1921;1803;Tresuren. Gavlhuset på tre fag (1803). Fredet 1921.*
Aabenraa;Vægterpladsen 3;Vægterpladsen 3;1921;1600;Forhuset, del af byens vægterhus (1600-tallet, grundmuret 1768, forhøjet med en etage i sidste del af 1800-tallet). Fredet 1921.*
Aabenraa;Vægterpladsen 5, hj;af Store Pottergade;1971;1600;Vægterpladsen 5. Forhuset, del af byens vægterhus (1600-tallet, grundmuret 1768, ombygget kort efter 1827). Fredet 1971.*
Aalborg;Adelgade 14, hj;af Latinergyden og Klosterjordet;1918;ca. 1400-50;Ålborg Hospital, Helligåndsklosteret. Helligåndsklosterets bygninger (ca. 1400-50, ca. 1500). Fredet 1918.*
Aalborg;Adelgade 4-6;Brix'es Gård;1919;senmiddelalder;De fire længer mellem Cortesgyde og C.W. Obels Plads (senmiddelalder og ca. 1580-90 samt senere). Fredet 1919.*
Aalborg;Algade 42-44;Aalborg Post- og Telegraf;1988;1908;Det trefløjede bygningsanlæg med side- og baghuse, gårdsplads og portparti (1908-10 af Hack Kampmann). Fredet 1988.*
Aalborg;Bakmøllevej 241;Vang;1932;1788;Den trelængede hovedbygning (1788-89) med gravene mod nord, øst og syd. Fredet 1932.
Aalborg;C.A;Olesens Gade 1, Strandvejen 16 og Vestre Havnepromenade 21;2015;1931;De Danske Spritfabrikker Aalborg. De Danske Spritfabrikkers anlæg i Aalborg bestående af fabriksbygning med trappetårn, brænderitårn, aftapningsbygning, kogerbygning, malteribygning med sammenbygget silobygning og forbindelsesbro til fabriksbygning, kulfilterbygning, rørtunnel mellem kulfilterbygning og brænderitårn, kedelhuse med maskinværksted, dampskorsten, jernbaneporten med murstykker og -piller, de fem nittede jerntanke nord for kulfilterbygningen samt kontorbygning (1931 af Alf. Cock-Clausen og D.D.S.F.’s driftskontor, med senere tilføjelser). Fredet 2015. *
Aalborg;Egensevej 155;Klarupgård;1939;1700;Den trelængede hovedbygning (hovedfløjen 1700-tallet, sidelængerne 1847-48). Fredet 1939.
Aalborg;Fjordgade 2;Fjordgade 2;1972;;Forhuset. Fredet 1972.*
Aalborg;Gammel Østergade 8;Bryggergården;1919;1791;Forhus med sidehus (1791). Fredet 1919.
Aalborg;Gammeltorv 10;Gammeltorv 10;1978;1874;Den ældre bankbygning (1874-75 af J.D. Herholdt). Fredet 1978.*
Aalborg;Gammeltorv 2;Ålborg gamle Rådhus;1918;1757;Rådhusbygningen (1757-62, formentlig af Daniel Hopp). Fredet 1918.*
Aalborg;Gammeltorv 4 (tidl;nr;1988;1940;6). Tinghuset. Tinghuset (1940-43, Bent Helweg-Møller). Fredet 1988. *
Aalborg;Halkærvej 3;Lundbæk;1918;1804;Hovedbygningen (1804) med omgivende grave. Fredet 1918.
Aalborg;Hasserisvej 168;Gaarden;1988;1917;Villa, garagebygning og forplads (1917 af Ejnar Packness). Fredet 1988.*
Aalborg;Hvorupgårdvej 82;Bjørumgård;1939;1800;Den trefløjede hovedbygning (ca. 1800). Fredet 1939.
Aalborg;John F;Kennedys Plads 3;1992;1902;Aalborg Station. Aalborg Stations hovedbygning (1902 af Thomas Arboe). Fredet 1992.
Aalborg;Kattesundet 20, hj;af Borgergade;1983;1700;Pakhuse i Kattesundet og Borgergade. Det toetages pakhus mod Borgergade (1700-tallet), det treetages pakhus mod Kattesundet (slutn. af 1600-tallet) og den hermed sammenbyggede toetages bygning med halvtagsudbygning mod gården. Fredet 1983.*
Aalborg;Kirkegårdsgade 3;Kirkegårdsgade 3;1954;1809;Forhuset (1809). Fredet: 1954.*
Aalborg;Kong Christians Allé 50;Nordjyllands Kunstmuseum;1995;1963;Museumsbygningen, skulpturparken med omgivende mure og med terrasser og amfiteater, forpladsen med nedkørsel, parkeringspladsen samt den græsbevoksede vold mod Kong Christians Allé (1963-72 af Jean-Jacques Baruël i samarbejde med Elissa Aalto og Alvar Aalto). Fredet 1995.
Aalborg;Kong Hansgade 18;Ting- og Arresthuset;1988;1918;Det trefløjede bygningsanlæg med tilhørende gårde og omgivende haveanlæg (1918 og 1943 af Ejnar Packness). Fredet 1988.
Aalborg;Kongstedlundvej 18;Kongstedlund;1918;1592;Hovedbygningens vestre fløj (1592, portalen 1640) med den smalle del af søndre fløj (1700-tallet) samt de omgivende grave. Fredet 1918.*
Aalborg;Mellemgade 52, Nibe;Mellemgade 52;1979;1825;Forhuset mod Strandgade (1825) og sidehuset mod Mellemgade (1848). Fredet 1979.*
Aalborg;Møllebrovej 2;Gudumlund;1983;1776;Hovedbygningen (1776), den ottekantede hollænderibygning, den brolagte gårdsplads, haven, tørveladen, de to murstykker om gårdspladsen og alléen. Fredet 1983. Udvidet 2010
Aalborg;Nørregade 1, hj;af Fjordgade;1972;ca. 1560-1600;Nørregade 1. Forhus mod Nørregade (ca. 1560-1600), forhus mod Fjordsgade (ca. 1580-1600). Fredet 1972.*
Aalborg;Nørregade 9;Nørregade 9;1919;1600;Bindingsværkssidelænge (sidste halvdel af 1600-tallet). Fredet 1919.*
Aalborg;Postgårdsvej 9-11;Postgård;1939;1804;Hovedbygningen (1804, et fag tilbygget ca. 1860). Fredet 1939.
Aalborg;Refsnæsvej 3;Refsnæs;1939;1791;Hovedbygningens nordfløj (1791) og østlænge (ca. 1840-50) samt den store lade (1612). Fredet 1939.
Aalborg;Restrup Kærvej 10;Store Restrup;1918;1723;Den trefløjede hovedbygning (1723, ombygget ca. 1760-70) samt mur med piller mod øst og graven mod west. Fredet 1918.*
Aalborg;Riihimäkivej 3;Riihimäkivej 3;2009;1956;Industribygningen (1956 af Arne Jacobsen) samt ejendommens mur mod Riihimäkivej og den fritstående skorsten. Fredet 2009. *
Aalborg;Ryesgade 52;Ryesgade Skole;1995;1911;Administrations- og gymnastikbygningen, de fire pavilloner med to forbindende toiletbygninger samt skolegården (1911 og udvidet 1917 af Oscar Beck). Fredet 1995. *
Aalborg;Skansen 1;Hals Skanse;1918;;Den af fire bastioner bestående skanse med krudtmagasin og tøjhusbygningen samt den omgivende grav og redanen i nord. Fredet 1918.
Aalborg;Slotspladsen 1;Ålborg Slot;1918;1539;Slottets nord-, øst- og sydfløj (1539-ca. 1550 af Martin Bussert samt 1633 og 1705), muren der afgrænser slotsgårdens vestside samt det omgivende voldanlæg. Fredet 1918.
Aalborg;Vesterbro 1-15;Enighedslund;2014;1938;Etageboligbebyggelsen Enighedslund (1938 af Kooperative Arkitekter ved Ivar Bentsen, Vagn Kasstrup og Harald Petersen) med tilhørende gård- og haveanlæg. Fredet 2014*
Aalborg;Vår Skovvej 6;Vår;1964;1587;Den tofløjede hovedbygning samt den vest herfor liggende mur med portpiller og pavilloner (1587-90, reduceret og ombygget 1722). Fredet 1964.*
Aalborg;Zincksvej 1, Godthåb;Godthåb Hammerværk;2005;1894;Turbinetårnet (1894), Kedelhuset med skorsten (1897), Vestre smedje med shedtage, skorstene og 11 nagelfaste maskiner inkl. turbine og 2 drivaksler (1915), Østre Smedje (1902) og Tørrelade nr. 4 (1897). Fredet 2005
Aalborg;Østerågade 23 og Maren Turisgade 6;Hamborggården;1918;ca. 1580-90;Forhuset mod Østerå (efter 1616), den østre sidelænge langs ejendommens sdr. skel (ca. 1600), den vestre sidelænge langs sdr. skel med portbygningen mod Maren Turisgade (ca. 1580-90, facaden mod Maren Turisgade grundmuret i 1800-tallet). Fredet 1918.*
Aalborg;Østerågade 25;Borgmester Jørgen Olufsens Gård;1918;1616;Gavlhuset og den hermed sammenbyggede sidebygning langs ejendommens ndr. skel (1616, gårdside og sidebygning delvis ombygget i 1800-tallet). Fredet 1918.*
Aalborg;Østerågade 29;Distriktstoldkammeret;1988;1900;Det trefløjede bygningsanlæg med gårdsplads og gårdmur samt tilhørende udhuse på gårdspladsen (1900-1902 af Hack Kampmann). Fredet 1988.
Aalborg;Østerågade 9;Jens Bangs Stenhus;1918;1623;Stenhuset mod Østerågade (1623-24) med trappetårnet (1897) samt side- og bagbygningerne mod syd (Adelgade, med overhvælvet kælderrum), west (Cortesgyde) og nord. Fredet 1918.*
Aarhus;Alstrup Allé 11;Glasalstrup;2024;1967;J.A. Alstrup A/S’ administrationsbygning, ”Glasalstrup”, (1967 af Knud Blach Petersen) med nære omgivelser i form af græsplænen, betonstøttemuren langs og i fortsættelse af Alstrup Allé og fyrretræsbeplantningerne. Fredet 2024.*
Aarhus;Badstuegade 1H;Badstuegade 1H;1970;1809;Pakhuset (1809). Fredet 1970.*
Aarhus;Bedervej 101, Vilhelmsborg Allé 1, Vilhelmsborgvej 4-12;Vilhelmsborg;1945;1842;"Hovedbygningen (1842-44 af Ferdinand Thielemann) og den sammenbyggede pavillonbygning i øst, staldgården bestående af forpagterbolig, hestestalden med vognremise, agerumslade, kostald og herskabsstald (1856-57 af Gustav Martens) samt smedien (ca. 1870) og de fire landarbejderboliger ved Vilhelmsborgvej (""Polakhusene"", 1892). Fredet 1945.*"
Aarhus;Domkirkepladsen 1;Domkirkepladsen 1;1996;1926;Nationalbankbygningen (tidl.) (1926 af Axel Berg, ombygget 1989 af C.F. Møllers Tegnestue). Fredet 1996. *
Aarhus;Domkirkepladsen 5;Århus Rådhus (tidl.);1996;1857;Rådhuset (1857 af Ferdinand Thieleman, ombygget 1907 af S.F. Kühnel). Fredet 1996.
Aarhus;Fenrisvej 31;Århus Statsgymnasium;2004;1958;Skolebygningen, gymnastiksalen, den tidligere rektorbolig (undtagen forbindelsesgang og tilbygning fra 1996), den tidligere pedelbolig samt omgivelser i form af forpladsen, trapperne, gårdhaven med vandbassin og øvrige befæstede arealer (1958 af Arne Gravers og Johan Richter) med relieffer af Asger Jorn og en gobelin af Asger Jorn og Pierre Wermaëre samt de to senere tilbyggede fløje til skolebygningen (1971 af Kjær og Richter) med senere forbindelsesbygning. Fredet 2004.
Aarhus;Fredens Torv 3B;Trods Katholm;1970;1847;Pakhuset mod Fredensgade 3 og muren mod Fredens Torv (1847-50). Fredet 1970.*
Aarhus;Frederiksgade 79;Købmand Herskinds Gård;1970;1816;Forhus med bindingsværkslænge (1816). Fredet 1970.*
Aarhus;Gedingvej 2;Thoralds Hus;2010;midten af 1700-tallet;Thoralds Hus (midten af 1700-tallet) med omgivende stenpikning og hækken mod vej. Fredet 2010. *
Aarhus;Hack Kampmanns Plads 1-3 (tidl;Havnen 165);1985;1895;Toldkammeret. Toldkammerkomplekset med hegnsmur mod Havnegade (1895-97 af Hack Kampmann). Fredet 1985.
Aarhus;Hack Kampmanns Plads 10 (tidl;Nordhavnsgade 4);2001;1923;Stykgodspakhuset. Stykgodspakhuset (1923 efter tegninger af stadsarkitekt Frederik Draiby og ingeniør H.J.N. Gebauer). Fredet 2001.
Aarhus;Hans Hartvig Seedorffs Stræde 12;Mejlen;2009;1883;Det tidligere børneasyl Mejlen (1883 af arkitekt Carl Lange). Fredet 2009.
Aarhus;Harlev Kirkevej 11;Harlev Præstegård;1950;1737;Det trelængede anlæg syd for kirken (stuehus delvis 1737, vestre sidelænge 1757). Fredet 1950.
Aarhus;Højen 13, Brabrand;Højen 13, Brabrand;2008;1958;Villaen med tilbygning , udhus og carport samt den indre gård med omgivende mure (1958, udvidet 1970 af Knud Friis). Fredet 2008.
Aarhus;Jægergårdsgade 97;Centralværkstederne, administrationsbygning m.m.;1996;1910;Administrationsbygningen (1910 af Povl Baumann), Vognrevisionsværkstedet (opført som lokomotivværksted 1911, udvidet 1932). Fredet 1996.
Aarhus;Kannikegade 1-3;Århus Teater;1981;1900;Hele teaterbygningskomplekset (1900 af Hack Kampmann, udvidet 1953-55 og ombygget 1981 af C.F. Møller). Fredet 1981.*
Aarhus;Klostergade 56;Klostergade 56;1970;1812;Den trelængede gård (forhuset muligvis af bygmester A.G. Monrad 1812). Fredet 1970.*
Aarhus;Klostergade 58;Klostergade 58;1970;1700;Forhuset og sidehus (1700-tallet med senmiddelalderlig kælder). Fredet 1970.*
Aarhus;Klostergade 59;Vor Frue Kloster, Århus Hospital (tidl.);1918;middelalder;Sortebrødreklostrets fløje mod vest, nord og øst samt fratergangen langs klosterkirkens nordside (middelalder, stærkt ombygget 1878-79 af N.P. Holsøe, gennemgangen i nordfløjen 1956 af Aksel Skov). Fredet 1918.*
Aarhus;Kærbyvej 9, 11 og 13;Kærbygård;1990;1928;Det trefløjede anlæg bestående af hovedbygningen med to sidefløje (ca. 1768, ombygget 1880) og to avlsgårdslænger (1928), den ene med lille tilbygning mod vest. Fredet 1990.
Aarhus;Lille Torv 6;Jysk Handels- og Landbrugsbank (tidl.);1996;1899;Bankbygningen (1899-1900 af S.F. Kühnel). Fredet 1996.*
Aarhus;Lyngbygårdsvej 25;Lyngbygård;1918;1755;Hovedbygningen (1755 og 1775, kælderen 1500-tallet). Fredet 1918.
Aarhus;Mejlgade 19;Juuls Gaard;1919;1625;Forhus mod Mejlgade med to sidehuse og baghus (forhuset ca. 1625). Fredet 1919. Udvidet 1970.*
Aarhus;Mejlgade 25;Mejlgade 25;1970;;Forhuset. Fredet 1970.*
Aarhus;Mejlgade 43;Mejlgade 43;1970;1831;Forhus med sidehus og baghus (1831). Fredet 1970.*
Aarhus;Mejlgade 45;Mejlgade 45;1970;1842;Forhuset (1842-43), sidehuset (1858), auktionshuset inkl. interiører og den hermed sammenbyggede vinkelformede lagerbygning (1875-76) samt hegnsmuren mod Snævringen. Fredet 1970. Udvidet 1989.*
Aarhus;Mejlgade 48;Mejlgade 48;1970;;Forhuset. Fredet 1970.*
Aarhus;Mejlgade 52-54;Mejlgade 52-54;1970;;Forhuset. Fredet 1970.*
Aarhus;Mejlgade 7;Mejlgade 7;1992;1848;Forhuset og sidehuset (1848). Fredet 1992.*
Aarhus;Mindegade 8;Hans Broges Gård;1970;1849;Forhus og sidehus (1849 formentlig af Hans Wilhelm Schrøder). Fredet 1970.*
Aarhus;Moesgård Allé 18-20;Moesgård;1918;1780;Hovedbygningen med de krumme fløje (1780-84 af Christian Joseph Zuber) og alle avlsbygninger omkring gårdspladsen og hovedindkørslen mod vest samt forbindelsesmurene mellem hovedbygning og avlsgård. Fredet 1918. Udvidet 1989.*
Aarhus;Nordre Ringgade 1;Aarhus Universitet (dele af);2024;1933;Det selvstændige landskabsarkitektoniske værk ”Den centrale del af Universitetsparken” afgrænset af Nordre Ringgade, Nørrebrogade, Wilhelm Meyers Allé, Ole Worms Allé, Karl Verners Vej og Langelandsgade (1933 af C.Th. Sørensen), Den Første Institutbygning (1933 af C.F. Møller, Kay Fisker og Povl Stegmann), Naturhistorisk Museum bestående af de tre første museumsbygninger samt teglstensmuren langs adgangsvejen fra syd (1941 af C.F. Møller, Kay Fisker og Povl Stegmann), Kollegium 4 (1946 af C.F. Møller, Kay Fisker og Povl Stegmann), Hovedbygningen med fritstående murstensbuer mod nord og solgård med fritstående murstensbuer mod syd samt bygningen under solgården (1946 af C.F. Møller), Kollegium 7 (1950 af C.F. Møller) med Eforboligen (1949 af C.F. Møller), Tandlægeskolens østre fløj (1961 af C.F. Møller), Bogtårnet (1963 af C.F. Møller), Administrationsbygningen, Stakladen og Studenterbygningen med pladsen herimellem og de to underjordiske forbindelsesgange (1964 af C.F. Møller), Institut for Matematiks hovedfløj, tværfløj og auditorium samt det østvendte gårdrum afgrænset af støttemure (1964 af David Birnbaum og Henning Jensen, C.F. Møllers Tegnestue). Fredet 2024
Aarhus;Nørreport 20;Raaes Gård;1919;1798;Forhus og sidelænge (1798 af Anders Kruuse). Fredet 1919.*
Aarhus;Observatorievejen 1 og 3;Ole Rømer Observatoriet;2005;1911;Ole Rømer Observatoriet bestående af observatoriebygning og direktørbolig med tilhørende udhus (1911 af Anton Rosen). Fredet 2005
Aarhus;Paradisgade 5-7;Århus Håndværkerforenings Asyl (tidl.);1980;1866;Forhuset (1866 af V.Th. Walther). Fredet 1980.*
Aarhus;Rosensgade 38 A-B;Rosensgade 38A-B;1970;1700;Hjørnehuset (1700-tallet og senere). Fredet 1970.*
